"id_question","id_version","version","date_creation","module","theme","type_item","niveau","public_cible","role_test","enonce_fr","options_fr","reponse_correcte","explication_fr","action_fr","idee_fausse_ciblee","enonce_en","options_en","explication_en","action_en","statut_traduction","source_documentaire","id_inventaire","secteur_validateur","date_validation","date_revision_prevue","visa_validation","statut","sensibilite","motif_suspension","historique","indice_difficulte","indice_discrimination","distracteur_dominant","n_observations","date_calcul_psy","media_associe","audio_ref","schema_version"
"DUSSC-M00-001","DUSSC-M00-001-v1","1","2026-08-02","M00","Interdépendance santé humaine / animale","Situation","Grand public","A1;A2;A3;C1;C2","Ancre pré-test","Dans votre quartier, plusieurs poulets d'un élevage voisin meurent en deux jours. Qui est concerné par cette situation ?","[""Le propriétaire, le service vétérinaire et le service de santé, car certaines maladies des volailles peuvent aussi toucher les personnes"", ""Seulement le service vétérinaire"", ""Seulement le propriétaire des poulets"", ""Personne, tant que les poulets ne sont pas vendus""]","A","Une mortalité anormale chez les volailles peut annoncer une maladie transmissible à l'être humain. C'est pourquoi les services vétérinaires et sanitaires travaillent ensemble.","Signalez toute mortalité inhabituelle au centre zootechnique et vétérinaire le plus proche.","« Les maladies des animaux ne concernent que les vétérinaires »","In your neighbourhood, several chickens from a nearby farm die within two days. Who is concerned by this situation?","[""The owner, the veterinary service and the health service, because some poultry diseases can also affect people"", ""Only the veterinary service"", ""Only the owner of the chickens"", ""Nobody, as long as the chickens are not sold""]","Unusual deaths among poultry may signal a disease that can be passed to people. This is why veterinary and health services work together.","Report any unusual animal deaths to the nearest zootechnical and veterinary centre.","Traduit","","INV-A-001","MINEPIA;MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M00-002","DUSSC-M00-002-v1","1","2026-08-02","M00","Origine animale des maladies","Connaissance","Grand public","A3;C1;C2;D3","Question courante","Parmi ces affirmations, laquelle est exacte ?","[""Les maladies des animaux ne se transmettent jamais aux personnes"", ""Seuls les animaux sauvages peuvent transmettre des maladies"", ""De nombreuses maladies humaines nouvelles proviennent des animaux"", ""Seuls les animaux domestiques peuvent transmettre des maladies""]","C","Une grande partie des maladies infectieuses nouvelles chez l'être humain provient des animaux, sauvages comme domestiques. C'est le fondement de l'approche Une Seule Santé.","Protégez-vous lors de tout contact avec un animal malade ou mort, quel qu'il soit.","« Les maladies animales et humaines n'ont rien à voir entre elles »","Which of these statements is correct?","[""Animal diseases are never passed to people"", ""Only wild animals can pass on diseases"", ""Many new human diseases come from animals"", ""Only domestic animals can pass on diseases""]","A large share of new infectious diseases in people comes from animals, both wild and domestic. This is the basis of the One Health approach.","Protect yourself during any contact with a sick or dead animal, whatever the species.","Traduit","","INV-A-001","MINSANTE;MINEPIA","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M00-003","DUSSC-M00-003-v1","1","2026-08-02","M00","Rôle du citoyen","Attitude","Grand public","A1;A2;A3;C1","Question courante","Quel est le rôle d'un simple citoyen dans l'approche Une Seule Santé ?","[""Aucun, c'est l'affaire des spécialistes"", ""Observer ce qui est inhabituel autour de lui, se protéger et signaler aux services compétents"", ""Soigner lui-même les animaux malades"", ""Interdire l'élevage près des habitations""]","B","Les services de surveillance ne peuvent pas être partout. Ce sont souvent les habitants qui remarquent les premiers une mortalité anormale ou une maladie inhabituelle.","Retenez le numéro ou l'adresse de votre centre de santé et de votre centre zootechnique et vétérinaire.","« La santé publique est l'affaire des autorités uniquement »","What is the role of an ordinary citizen in the One Health approach?","[""None, it is a matter for specialists"", ""To notice what is unusual around them, protect themselves and report to the competent services"", ""To treat sick animals themselves"", ""To ban livestock keeping near homes""]","Surveillance services cannot be everywhere. It is often residents who first notice unusual deaths or an unfamiliar disease.","Keep the contact details of your health centre and your zootechnical and veterinary centre.","Traduit","","INV-A-001","MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M00-004","DUSSC-M00-004-v1","1","2026-08-02","M00","Orientation vers les services","Orientation","Grand public","A1;A2;B1;B2","Question courante","Vous constatez qu'un animal de votre élevage est malade. Quel service devez-vous contacter en priorité ?","[""Le centre de santé"", ""La pharmacie"", ""La mairie"", ""Le centre zootechnique et vétérinaire de votre arrondissement""]","D","Les questions de santé animale relèvent des services vétérinaires. Ils déterminent s'il existe un risque pour les autres animaux et pour les personnes.","Contactez le centre zootechnique et vétérinaire. En cas de doute, informez aussi le centre de santé.","« Il n'existe pas de service à contacter pour un animal malade »","You notice that an animal on your farm is sick. Which service should you contact first?","[""The health centre"", ""The pharmacy"", ""The council"", ""The zootechnical and veterinary centre of your subdivision""]","Animal health matters fall to the veterinary services. They determine whether there is a risk for other animals and for people.","Contact the zootechnical and veterinary centre. If in doubt, inform the health centre as well.","Traduit","","INV-A-001","MINEPIA","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M00-005","DUSSC-M00-005-v1","1","2026-08-02","M00","Collaboration multisectorielle","Connaissance","Intermédiaire","A3;C2;D1;D2;D3","Question courante","Pourquoi les services de santé humaine, de santé animale et de l'environnement travaillent-ils ensemble ?","[""Pour partager les mêmes bureaux"", ""Parce que de nombreux problèmes de santé naissent au contact entre les personnes, les animaux et l'environnement"", ""Parce que la loi les y oblige sans raison technique"", ""Pour réduire le nombre de fonctionnaires""]","B","Une maladie qui apparaît chez l'animal peut toucher l'être humain, et un environnement dégradé favorise les deux. Agir séparément revient à traiter la moitié du problème.","Lorsque vous signalez un événement, précisez s'il concerne des personnes, des animaux ou les deux.","« Chaque ministère travaille seul sur son domaine »","Why do human health, animal health and environment services work together?","[""To share the same offices"", ""Because many health problems arise where people, animals and the environment meet"", ""Because the law requires it, without any technical reason"", ""To reduce the number of civil servants""]","A disease appearing in animals can reach people, and a damaged environment favours both. Acting separately means treating half of the problem.","When you report an event, state whether it involves people, animals or both.","Traduit","","INV-A-001","MINSANTE;MINEPIA;MINEPDED","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M00-006","DUSSC-M00-006-v1","1","2026-08-02","M00","Environnement et santé","Situation","Grand public","A1;A2;A3;C1;C2","Question courante","Une décharge non gérée s'est formée à côté des habitations de votre quartier. Quel risque sanitaire cela crée-t-il ?","[""Aucun, ce n'est qu'un problème d'apparence"", ""Elle n'a d'effet que sur les animaux"", ""Elle protège les habitations du vent"", ""Elle attire rongeurs, mouches et moustiques, qui peuvent transmettre des maladies""]","D","Les déchets accumulés offrent nourriture et abri aux rongeurs et aux insectes. Ces animaux transportent des germes jusqu'aux habitations et aux aliments.","Signalez la décharge à votre commune et évitez d'y jeter des restes alimentaires.","« Les déchets ne sont qu'un problème de propreté »","An uncontrolled rubbish dump has formed next to the homes in your neighbourhood. What health risk does this create?","[""None, it is only a matter of appearance"", ""It only affects animals"", ""It shelters the homes from the wind"", ""It attracts rodents, flies and mosquitoes, which can carry diseases""]","Piled-up waste offers food and shelter to rodents and insects. These animals carry germs into homes and onto food.","Report the dump to your council and avoid throwing food waste there.","Traduit","","INV-A-001","MINEPDED;MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M00-007","DUSSC-M00-007-v1","1","2026-08-02","M00","Santé des végétaux","Connaissance","Intermédiaire","A3;C2;D2","Question courante","L'approche Une Seule Santé au Cameroun repose sur quatre piliers. Lequel est souvent oublié ?","[""La santé des végétaux"", ""La santé animale"", ""La santé humaine"", ""La santé environnementale""]","A","La santé des végétaux fait partie intégrante de l'approche : les maladies des cultures, les pesticides et la sécurité alimentaire ont des effets directs sur la santé des personnes.","Renseignez-vous auprès des services agricoles avant tout traitement des cultures.","« Une Seule Santé ne concerne que les humains et les animaux »","The One Health approach in Cameroon rests on four pillars. Which one is often forgotten?","[""Plant health"", ""Animal health"", ""Human health"", ""Environmental health""]","Plant health is part of the approach: crop diseases, pesticides and food security have direct effects on people's health.","Seek advice from the agricultural services before treating your crops.","Traduit","","INV-A-001","MINADER;MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M00-008","DUSSC-M00-008-v1","1","2026-08-02","M00","Interface et coordination","Situation","Professionnel","D1;D2;D3","Question courante","En tant qu'agent de terrain, vous constatez un événement qui touche à la fois des animaux et des personnes. Que faites-vous ?","[""Je traite uniquement la partie qui relève de mon service"", ""J'attends les instructions de ma hiérarchie avant tout contact"", ""J'informe mon service et j'alerte également le service de l'autre secteur concerné selon le circuit établi"", ""Je conseille aux habitants de se débrouiller""]","C","Un événement à interface exige une réponse conjointe. Informer un seul secteur laisse la moitié du risque sans réponse et retarde l'investigation.","Appliquez le circuit de notification conjoint et documentez chaque transmission d'information.","« Chacun ne signale qu'à son propre service »","As a field officer, you observe an event affecting both animals and people. What do you do?","[""I handle only the part that falls under my own service"", ""I wait for instructions from my hierarchy before making any contact"", ""I inform my service and also alert the service of the other sector concerned, following the established channel"", ""I advise residents to manage on their own""]","An event at the interface calls for a joint response. Informing only one sector leaves half the risk unanswered and delays the investigation.","Follow the joint notification channel and record every transmission of information.","Traduit","","INV-A-001","MINSANTE;MINEPIA;MINFOF","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M00-009","DUSSC-M00-009-v1","1","2026-08-02","M00","Vaccination animale et santé humaine","Connaissance","Grand public","A2;B1;C1","Question courante","Faire vacciner les chiens du quartier protège surtout :","[""Uniquement les chiens"", ""Uniquement leurs propriétaires"", ""Les chiens et l'ensemble des habitants, car cela empêche la rage de circuler"", ""Personne, la vaccination est inutile""]","C","La rage humaine vient presque toujours d'un chien. Vacciner suffisamment de chiens interrompt la circulation du virus et protège toute la communauté.","Participez aux campagnes de vaccination antirabique organisées dans votre localité.","« La vaccination du chien ne concerne que son propriétaire »","Vaccinating the dogs in a neighbourhood mainly protects:","[""Only the dogs"", ""Only their owners"", ""The dogs and all residents, because it stops rabies from circulating"", ""Nobody, vaccination is useless""]","Human rabies almost always comes from a dog. Vaccinating enough dogs interrupts the circulation of the virus and protects the whole community.","Take part in the rabies vaccination campaigns organised in your locality.","Traduit","","INV-A-001","MINEPIA;MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
"DUSSC-M00-010","DUSSC-M00-010-v1","1","2026-08-02","M00","Interdépendance santé humaine / animale","Situation","Grand public","A1;A2;A3;C1;C2","Ancre post-test","Un éleveur de votre localité constate que ses bêtes tombent malades les unes après les autres. Cette situation concerne :","[""Toute la communauté, car certaines maladies animales peuvent atteindre les personnes et les autres troupeaux"", ""Les services vétérinaires uniquement"", ""Lui seul, c'est son bien"", ""Les acheteurs de bétail uniquement""]","A","Une maladie qui se répand dans un troupeau peut gagner d'autres élevages et, pour certaines maladies, atteindre les personnes en contact avec les animaux ou leurs produits.","Encouragez l'éleveur à contacter sans délai le service vétérinaire.","« La maladie d'un troupeau ne regarde que son propriétaire »","A livestock keeper in your area finds that his animals are falling sick one after another. This situation concerns:","[""The whole community, because some animal diseases can reach people and other herds"", ""The veterinary services only"", ""Him alone, it is his property"", ""Cattle buyers only""]","A disease spreading through a herd can reach other farms and, for some diseases, affect people in contact with the animals or their products.","Encourage him to contact the veterinary service without delay.","Traduit","","INV-A-001","MINEPIA;MINSANTE","","","","En revue éditoriale","Standard","","2026-08-02 création v1 — rédaction initiale, français et anglais","","","","","","","","1.0"
